Team,ID
A&M-Corpus Christi,26172
Abilene Christian,2
Air Force,721
Akron,5
Alabama,8
Alabama A&M,6
Alabama St.,7
Albany (NY),14
Alcorn,17
American,23
App State,27
Arizona,29
Arizona St.,28
Ark.-Pine Bluff,2678
Arkansas,31
Arkansas St.,30
Army West Point,725
Auburn,37
Austin Peay,43
Ball St.,47
Baylor,51
Bellarmine,52
Belmont,14927
Bethune-Cookman,61
Binghamton,62
Boise St.,66
Boston College,67
Bowling Green,71
Bradley,72
Brown,80
Bryant,81
Bucknell,83
Buffalo,86
Butler,87
BYU,77
Cal Poly,90
Cal St. Fullerton,97
California,107
California Baptist,30135
Campbell,115
Canisius,116
Central Ark.,1004
Central Conn. St.,127
Central Mich.,129
Charleston So.,48
Charlotte,458
Chattanooga,693
Chicago St.,136
Cincinnati,140
Clemson,147
Cleveland St.,148
Coastal Carolina,149
Col. of Charleston,1014
Colgate,153
Colorado,157
Colorado St.,156
Columbia,158
Coppin St.,165
Cornell,167
Creighton,169
CSU Bakersfield,94
CSUN,101
Dartmouth,172
Davidson,173
Dayton,175
Delaware,180
Delaware St.,178
Denver,183
DePaul,176
Dixie St.,30095
Drake,189
Duke,193
Duquesne,194
East Carolina,196
Eastern Ill.,201
Eastern Ky.,202
Eastern Mich.,204
Eastern Wash.,207
Elon,1068
ETSU,198
Evansville,219
Fairfield,220
Fairleigh Dickinson,222
FGCU,28755
FIU,231
Fla. Atlantic,229
Florida,235
Florida A&M,228
Florida St.,234
Fordham,236
Fresno St.,96
Furman,244
Ga. Southern,253
Gardner-Webb,1092
George Mason,248
George Washington,249
Georgetown,251
Georgia,257
Georgia St.,254
Georgia Tech,255
Gonzaga,260
Grambling,261
Grand Canyon,1104
Green Bay,794
Hampton,270
Hartford,272
Harvard,275
Hawaii,277
High Point,19651
Hofstra,283
Holy Cross,285
Houston,288
Houston Baptist,287
Howard,290
Idaho,295
Idaho St.,294
Illinois,301
Illinois St.,299
Indiana,306
Indiana St.,305
Iona,310
Iowa,312
Iowa St.,311
IUPUI,2699
Jackson St.,314
Jacksonville,316
Jacksonville St.,315
James Madison,317
Kansas,328
Kansas City,2707
Kansas St.,327
Kennesaw St.,1157
Kent St.,331
Kentucky,334
Lafayette,342
Lamar University,346
Lehigh,352
Liberty,355
Lipscomb,28600
Little Rock,32
LIU,361
LMU (CA),370
Long Beach St.,99
Louisiana,671
Louisiana Tech,366
Louisville,367
Loyola Chicago,371
Loyola Maryland,369
LSU,365
Manhattan,381
Marist,386
Marquette,387
Marshall,388
Maryland,392
McNeese,402
Memphis,404
Mercer,406
Merrimack,410
Miami (FL),415
Miami (OH),414
Michigan,418
Michigan St.,416
